t	V
4.176	-0.0100859098041455
4.2	0.0267509039518467
4.224	-0.0381336005382362
4.248	-0.0173152919693477
4.272	0.0307397446849926
4.296	-0.0409262764207416
4.32	0.00880320087573001
4.344	0.0524402261766721
4.368	0.00270727452056515
4.392	-0.0460477604442979
4.416	-0.107171802341647
4.44	0.0252523507940813
4.464	-0.0745337942023706
4.488	-0.0383969743264372
4.512	0.0260311927538415
4.536	0.00348343903698894
4.56	-0.00805017121053404
4.584	0.00463238543250998
4.608	0.00773918102032181
4.632	0.0380823111447469
4.656	0.0444131309760125
4.68	0.0103721551890775
4.704	0.072957675608496
4.728	0.0431776761397017
4.752	0.0603675348586766
4.776	0.0492108062340301
4.8	-0.0305766184593957
4.824	-0.0523460911921479
4.848	0.00437990659667585
4.872	0.0218075235865491
4.896	0.010169086466519
4.92	-0.00502472286256898
4.944	0.0649950565418512
4.968	-0.0436455791431817
4.992	-0.00871840668509269
5.016	-0.0173111510052804
5.04	-0.0306525207909319
5.064	0.0690621794062155
5.088	-0.0030021575693872
5.112	-0.0183315067195973
5.136	0.0198476122477732
5.16	-0.0287056925504045
5.184	0.0471900411951162
5.208	0.0515385516477701
5.232	0.0404080424542405
5.256	0.0669351420443116
5.28	0.0490391959593192
5.304	-0.0480082060773815
5.328	-0.0132778024239475
5.352	0.0343145168391251
5.376	-0.0508399839340825
5.4	0.061742172317897
5.424	-0.00945911555529806
5.448	-0.0768723654530999
5.472	-0.0332271996234791
5.496	0.0336776835131324
5.52	-0.0197130215004939
